NamedEntity-Location: Deutschland |frequenzy: 11308
NamedEntity-Location: Europa |frequenzy: 3687
NamedEntity-Location: Bund |frequenzy: 2043
NamedEntity-Location: Zweitens |frequenzy: 1898
NamedEntity-Location: Erstens |frequenzy: 1806
NamedEntity-Location: Berlin |frequenzy: 1654
NamedEntity-Location: Staaten |frequenzy: 1643
NamedEntity-Location: Landes |frequenzy: 1510
NamedEntity-Location: Deutschlands |frequenzy: 1373
NamedEntity-Location: Union |frequenzy: 1360
NamedEntity-Location: USA |frequenzy: 1221
NamedEntity-Location: China |frequenzy: 1123
NamedEntity-Location: Frankreich |frequenzy: 1016
NamedEntity-Location: Russland |frequenzy: 991
NamedEntity-Location: Drittens |frequenzy: 985
NamedEntity-Location: Europas |frequenzy: 943
NamedEntity-Location: Corona |frequenzy: 883
NamedEntity-Location: Bundesrepublik Deutschland |frequenzy: 840
NamedEntity-Location: Bundesverfassungsgericht |frequenzy: 820
NamedEntity-Location: Bayern |frequenzy: 743
NamedEntity-Location: Syrien |frequenzy: 722
NamedEntity-Location: Türkei |frequenzy: 708
NamedEntity-Location: Brüssel |frequenzy: 641
NamedEntity-Location: Finanzminister |frequenzy: 634
NamedEntity-Location: Plenum |frequenzy: 605
NamedEntity-Location: Afrika |frequenzy: 588
NamedEntity-Location: Großbritannien |frequenzy: 569
NamedEntity-Location: Bundesrepublik |frequenzy: 554
NamedEntity-Location: Warum |frequenzy: 526
NamedEntity-Location: Hamburg |frequenzy: 520
NamedEntity-Location: Erfurt |frequenzy: 493
NamedEntity-Location: Baden-Württemberg |frequenzy: 487
NamedEntity-Location: Problem |frequenzy: 483
NamedEntity-Location: Afghanistan |frequenzy: 470
NamedEntity-Location: Nordrhein-Westfalen |frequenzy: 460
NamedEntity-Location: Italien |frequenzy: 460
NamedEntity-Location: Bundes |frequenzy: 447
NamedEntity-Location: Bundesverfassungsgerichts |frequenzy: 432
NamedEntity-Location: Brexit |frequenzy: 417
NamedEntity-Location: Iran |frequenzy: 385
NamedEntity-Location: den USA |frequenzy: 381
NamedEntity-Location: Polen |frequenzy: 380
NamedEntity-Location: Straße |frequenzy: 378
NamedEntity-Location: Thüringen |frequenzy: 377
NamedEntity-Location: Lesen |frequenzy: 373
NamedEntity-Location: Nein |frequenzy: 373
NamedEntity-Location: Griechenland |frequenzy: 373
NamedEntity-Location: Stadt |frequenzy: 368
NamedEntity-Location: Kitas |frequenzy: 361
NamedEntity-Location: Österreich |frequenzy: 358
NamedEntity-Location: Irak |frequenzy: 356
NamedEntity-Location: Danke |frequenzy: 336
NamedEntity-Location: Hohen Haus |frequenzy: 333
NamedEntity-Location: Hohen Hause |frequenzy: 327
NamedEntity-Location: Land |frequenzy: 325
NamedEntity-Location: Na |frequenzy: 321
NamedEntity-Location: Abg |frequenzy: 314
NamedEntity-Location: Israel |frequenzy: 310
NamedEntity-Location: Mittelmeer |frequenzy: 308
NamedEntity-Location: München |frequenzy: 305
NamedEntity-Location: Republik |frequenzy: 304
NamedEntity-Location: Viertens |frequenzy: 300
NamedEntity-Location: Erlangen |frequenzy: 297
NamedEntity-Location: Heidelberg |frequenzy: 294
NamedEntity-Location: Ukraine |frequenzy: 291
NamedEntity-Location: Krankenhäusern |frequenzy: 291
NamedEntity-Location: Konsens |frequenzy: 285
NamedEntity-Location: Brandenburg |frequenzy: 285
NamedEntity-Location: Wieso |frequenzy: 284
NamedEntity-Location: Mali |frequenzy: 283
NamedEntity-Location: Interfraktionell |frequenzy: 274
NamedEntity-Location: Erde |frequenzy: 274
NamedEntity-Location: Paris |frequenzy: 273
NamedEntity-Location: Saudi-Arabien |frequenzy: 270
NamedEntity-Location: Libyen |frequenzy: 267
NamedEntity-Location: Hessen |frequenzy: 262
NamedEntity-Location: Spanien |frequenzy: 261
NamedEntity-Location: Bundesrechnungshof |frequenzy: 259
NamedEntity-Location: Ihrem |frequenzy: 259
NamedEntity-Location: Hetze |frequenzy: 258
NamedEntity-Location: Erachtens |frequenzy: 255
NamedEntity-Location: Niedersachsen |frequenzy: 254
NamedEntity-Location: Augsburg |frequenzy: 249
NamedEntity-Location: Na ja |frequenzy: 247
NamedEntity-Location: Sachsen |frequenzy: 247
NamedEntity-Location: Amerikaner |frequenzy: 244
NamedEntity-Location: Leyen |frequenzy: 243
NamedEntity-Location: Tübingen |frequenzy: 242
NamedEntity-Location: Schleswig-Holstein |frequenzy: 241
NamedEntity-Location: Schweden |frequenzy: 232
NamedEntity-Location: Rolle |frequenzy: 231
NamedEntity-Location: Stimmt |frequenzy: 229
NamedEntity-Location: Leipzig |frequenzy: 227
NamedEntity-Location: Ungarn |frequenzy: 226
NamedEntity-Location: Kraft |frequenzy: 224
NamedEntity-Location: Bundesminister |frequenzy: 221
NamedEntity-Location: Briten |frequenzy: 220
NamedEntity-Location: Uns |frequenzy: 218
NamedEntity-Location: Pariser |frequenzy: 218
NamedEntity-Location: Jemen |frequenzy: 216
NamedEntity-Location: Potsdam |frequenzy: 216
NamedEntity-Location: Schweiz |frequenzy: 212
NamedEntity-Location: Dänemark |frequenzy: 210
NamedEntity-Location: Vereinigten Staaten |frequenzy: 207
NamedEntity-Location: Ländern |frequenzy: 204
NamedEntity-Location: Auswärtige Amt |frequenzy: 203
NamedEntity-Location: Lassen |frequenzy: 203
NamedEntity-Location: Unterschiede |frequenzy: 199
NamedEntity-Location: Dresden |frequenzy: 197
NamedEntity-Location: Ostdeutschland |frequenzy: 197
NamedEntity-Location: Krim |frequenzy: 195
NamedEntity-Location: Versprechen |frequenzy: 193
NamedEntity-Location: Indien |frequenzy: 192
NamedEntity-Location: Mecklenburg-Vorpommern |frequenzy: 190
NamedEntity-Location: Homeoffice |frequenzy: 188
NamedEntity-Location: Frankfurt |frequenzy: 187
NamedEntity-Location: Rheinland-Pfalz |frequenzy: 187
NamedEntity-Location: Auswärtigen Amt |frequenzy: 186
NamedEntity-Location: Libanon |frequenzy: 184
NamedEntity-Location: Hause |frequenzy: 183
NamedEntity-Location: Russlands |frequenzy: 183
NamedEntity-Location: Asien |frequenzy: 177
NamedEntity-Location: Chemnitz |frequenzy: 175
NamedEntity-Location: Moskau |frequenzy: 172
NamedEntity-Location: NRW |frequenzy: 172
NamedEntity-Location: Daseinsvorsorge |frequenzy: 172
NamedEntity-Location: Halle |frequenzy: 170
NamedEntity-Location: Stuttgart |frequenzy: 169
NamedEntity-Location: Bundesminister der Finanzen |frequenzy: 168
NamedEntity-Location: Altersarmut |frequenzy: 168
NamedEntity-Location: Maas |frequenzy: 167
NamedEntity-Location: Bundesinnenminister |frequenzy: 164
NamedEntity-Location: Herr Spahn |frequenzy: 159
NamedEntity-Location: Bundesminister des Auswärtigen |frequenzy: 159
NamedEntity-Location: Bundesinnenministerium |frequenzy: 158
NamedEntity-Location: Fake News |frequenzy: 154
NamedEntity-Location: Kanada |frequenzy: 152
NamedEntity-Location: Elterngeld |frequenzy: 151
NamedEntity-Location: Bremen |frequenzy: 149
NamedEntity-Location: Irland |frequenzy: 147
NamedEntity-Location: Japan |frequenzy: 147
NamedEntity-Location: Finanzministerium |frequenzy: 146
NamedEntity-Location: Israels |frequenzy: 146
NamedEntity-Location: Sachsen-Anhalt |frequenzy: 142
NamedEntity-Location: Steuer |frequenzy: 140
